طريقة العرض:,تفاصيل الصفقات المنفذة في كل مدينة,,
            3723594,"ر6,858,000.000",493.50,"13,897"
            3723660,"ر11,000,000.000",981.91,"11,203"
   حي/البغدادية الغربية, , , 
      مخطط/3, , , 
          قطعة 45, , , 
            3770861,"ر1,580,000.000",342.00,"4,620"
   حي/البلد, , , 
      مخطط/839, , , 
          قطعة 1, , , 
            3821207,"ر34,234,581.000",669.21,"51,157"
      مخطط/أخرى, , , 
          قطعة بدون, , , 
            3758370,"ر100,000.000",160.35,624
            3758663,"ر100,000.000",164.29,609
            3721363,"ر100,000.000",213.38,469
   حي/البوادى, , , 
      مخطط/2, , , 
          قطعة 92, , , 
            3715689,"ر593,916.000",520.50,"1,141"
      مخطط/210, , , 
          قطعة 147, , , 
            3803706,"ر4,500,000.000",810.00,"5,556"
      مخطط/3, , , 
          قطعة 138/ب, , , 
            3753518,"ر100,000.000",600.00,167
          قطعة 144, , , 
            3811200,"ر4,600,000.000",593.55,"7,750"
          قطعة 176, , , 
            3787314,"ر3,245,000.000",529.00,"6,134"
          قطعة 219, , , 
            3743990,"ر2,800,000.000",575.00,"4,870"
          قطعة 222/ب, , , 
            3768899,"ر3,000,000.000",520.00,"5,769"
          قطعة 242/ب, , , 
            3813012,"ر5,000,000.000",572.00,"8,741"
          قطعة 250/ج, , , 
            3776294,"ر3,300,000.000",523.19,"6,307"
          قطعة 313/ج, , , 
            3795483,"ر2,750,000.000",529.00,"5,198"
          قطعة 33, , , 
            3776900,"ر2,800,000.000",575.00,"4,870"
          قطعة 418/ب, , , 
            3717759,"ر1,150,000.000",525.00,"2,190"
          قطعة 431, , , 
            3772573,"ر9,000,000.000",625.00,"14,400"
          قطعة 467, , , 
            3748269,"ر16,500,000.000",720.00,"22,917"
      مخطط/703, , , 
          قطعة 8, , , 
            3748893,"ر800,000.000",575.00,"1,391"
   حي/الثغر, , , 
      مخطط/أخرى, , , 
          قطعة بدون, , , 
            3734574,"ر3,500,000.000","1,196.55","2,925"
   حي/الجامعة, , , 
      مخطط/أخرى, , , 
          قطعة بدون, , , 
            3720936,"ر315,000.000",89.05,"3,537"
            3721814,"ر320,000.000",63.85,"5,012"
            3725298,"ر484,000.000",75.88,"6,378"
            3803509,"ر650,000.000",237.00,"2,743"
            3715031,"ر770,000.000",205.65,"3,744"
            3821743,"ر830,000.000",221.49,"3,747"
            3775281,"ر1,080,000.000",217.03,"4,976"
            3786249,"ر1,750,000.000",187.06,"9,355"
            3782015,"ر2,540,000.000",814.92,"3,117"
   حي/الجامعيين الواقع شرق جدة شمال طريق عسفان, , , 
      مخطط/541, , , 
          قطعة 2026/ب, , , 
            3729617,"ر500,000.000","1,200.00",417
          قطعة 750/أ, , , 
            3721221,"ر100,000.000","1,200.00",83
          قطعة 784/أ, , , 
            3788190,"ر400,000.000","1,200.00",333
   حي/الجوهرة, , , 
      مخطط/402, , , 
          قطعة 1123, , , 
            3717409,"ر500,000.000","1,280.00",391
          قطعة 1429, , , 
            3736958,"ر4,371,750.000","1,305.00","3,350"
          قطعة 1431, , , 
            3736911,"ر4,673,250.000","1,395.00","3,350"
          قطعة 425, , , 
            3748271,"ر1,000,000.000",656.25,"1,524"
          قطعة 839, , , 
            3722490,"ر5,190,000.000","1,520.00","3,414"
          قطعة 926, , , 
            3789021,"ر3,000,000.000","1,198.74","2,503"
         العقارات 2-قطعة1433, , , 
            3736867,"ر12,090,400.000","3,547.86","3,408"
   حي/الحمدانية, , , 
      مخطط/326, , , 
          قطعة 101, , , 
            3742412,"ر1,200,000.000",600.00,"2,000"
          قطعة 1155/أ, , , 
            3766242,"ر1,100,000.000",312.50,"3,520"
          قطعة 1378/أ, , , 
            3765138,"ر1,120,000.000",290.00,"3,862"
          قطعة 1491/ب, , , 
            3726185,"ر1,450,000.000",312.50,"4,640"
          قطعة 1550, , , 
            3750193,"ر1,000,000.000",600.00,"1,667"
          قطعة 159, , , 
            3728938,"ر1,150,000.000",600.00,"1,917"
          قطعة 1771, , , 
            3764605,"ر1,000,000.000",600.00,"1,667"
          قطعة 1886, , , 
            3717235,"ر885,626.000",595.50,"1,487"
          قطعة 1937, , , 
            3794621,"ر100,000.000",625.00,160
          قطعة 2018, , , 
            3727356,"ر1,100,000.000",600.00,"1,833"
            3761546,"ر1,100,000.000",600.00,"1,833"
          قطعة 351/أ, , , 
            3742205,"ر1,500,000.000",300.00,"5,000"
          قطعة 353/ب, , , 
            3796506,"ر1,530,000.000",295.50,"5,178"
          قطعة 354/ب, , , 
            3780049,"ر1,295,000.000",300.00,"4,317"
          قطعة 412, , , 
            3759363,"ر1,100,000.000",625.00,"1,760"
          قطعة 415/أ, , , 
            3766771,"ر1,100,000.000",312.50,"3,520"
          قطعة 800/أ, , , 
            3801774,"ر1,750,000.000",312.50,"5,600"
          قطعة 83, , , 
            3781153,"ر1,250,000.000",595.00,"2,101"
          قطعة 946/أ, , , 
            3769240,"ر1,350,000.000",305.00,"4,426"
          قطعة 95/ب, , , 
            3796498,"ر1,400,000.000",300.00,"4,667"
          قطعة 951, , , 
            3755428,"ر1,000,000.000",625.00,"1,600"
          قطعة 957, , , 
            3764815,"ر1,000,000.000",625.00,"1,600"
      مخطط/365, , , 
          قطعة 103/أ, , , 
            3738580,"ر850,000.000",330.00,"2,576"
          قطعة 1053, , , 
            3724528,"ر1,200,000.000",660.00,"1,818"
          قطعة 1196, , , 
            3788247,"ر500,000.000",724.50,690
          قطعة 1313, , , 
            3785505,"ر1,350,000.000",724.50,"1,863"
          قطعة 1314, , , 
            3785454,"ر1,350,000.000",724.50,"1,863"
          قطعة 1379/أ, , , 
            3744607,"ر2,350,000.000",480.00,"4,896"
          قطعة 1379/ب, , , 
            3744543,"ر2,300,000.000",465.00,"4,946"
          قطعة 247, , , 
            3717358,"ر3,000,000.000",645.00,"4,651"
          قطعة 404/أ, , , 
            3720646,"ر1,500,000.000",337.50,"4,444"
          قطعة 631, , , 
            3763872,"ر1,161,000.000",645.00,"1,800"
          قطعة 649, , , 
            3816503,"ر1,000,000.000",643.18,"1,555"
          قطعة 659, , , 
            3796910,"ر1,150,000.000",645.00,"1,783"
          قطعة 661, , , 
            3796863,"ر1,150,000.000",645.00,"1,783"
          قطعة 863/أ, , , 
            3752771,"ر1,100,000.000",450.00,"2,444"
          قطعة 884/أ, , , 
            3729344,"ر1,350,000.000",290.00,"4,655"
          قطعة 907/أ, , , 
            3736700,"ر1,550,000.000",300.00,"5,167"
      مخطط/385, , , 
          قطعة 1069/ب, , , 
            3769029,"ر1,850,000.000",375.00,"4,933"
          قطعة 1389/89, , , 
            3758151,"ر1,075,000.000",600.00,"1,792"
          قطعة 1449/ب, , , 
            3742108,"ر1,700,000.000",420.00,"4,048"
          قطعة 15, , , 
            3741271,"ر1,250,000.000",720.00,"1,736"
            3766326,"ر1,350,000.000",720.00,"1,875"
          قطعة 352, , , 
            3725733,"ر700,000.000",690.00,"1,014"
          قطعة 360, , , 
            3725613,"ر1,240,000.000",690.00,"1,797"
          قطعة 404, , , 
            3813104,"ر554,178.000",700.00,792
          قطعة 514/ب, , , 
            3634163,"ر1,752,395.000",437.50,"4,005"
          قطعة 564/أ, , , 
            3755738,"ر1,750,000.000",360.00,"4,861"
          قطعة 564/ب, , , 
            3755778,"ر1,750,000.000",360.00,"4,861"
          قطعة 596/ب, , , 
            3737044,"ر1,590,000.000",342.90,"4,637"
          قطعة 683/جـ, , , 
            3801028,"ر1,620,000.000",358.91,"4,514"
          قطعة 907, , , 
            3808351,"ر1,990,000.000",689.10,"2,888"
      مخطط/456, , , 
          قطعة 194/ب, , , 
            3764284,"ر2,500,000.000",727.20,"3,438"
          قطعة 197/أ, , , 
            3726684,"ر100,000.000",614.80,163
            3725599,"ر504,400.000",614.80,820
          قطعة 306/ب, , , 
            3765848,"ر1,250,000.000",500.00,"2,500"
          قطعة 73/أ/أ/1, , , 
            3716605,"ر1,400,000.000",295.00,"4,746"
          قطعة 73/ب/أ/2, , , 
            3802160,"ر1,400,000.000",295.00,"4,746"
   حي/الحمراء, , , 
      مخطط/3, , , 
          قطعة 26, , , 
            3786588,"ر5,000,000.000",505.05,"9,900"
          قطعة 7, , , 
            3761664,"ر2,550,000.000",504.00,"5,060"
      مخطط/أخرى, , , 
          قطعة 2/أ, , , 
            3751288,"ر16,900,000.000","1,056.00","16,004"
          قطعة 2/ب, , , 
            3751318,"ر16,900,000.000","1,047.95","16,127"
          قطعة 2/ج, , , 
            3751387,"ر15,000,000.000","1,056.19","14,202"
          قطعة 2/د, , , 
            3751425,"ر15,000,000.000","1,047.69","14,317"
          قطعة 8, , , 
            3800978,"ر2,700,000.000",441.00,"6,122"
          قطعة 9/ب, , , 
            3739916,"ر4,700,000.000",413.43,"11,368"
          قطعة بدون/ج, , , 
            3734530,"ر42,000,000.000","1,246.35","33,698"
          قطعة بدون/د, , , 
            3734628,"ر42,000,000.000","1,237.69","33,934"
   حي/الخالدية, , , 
      مخطط/3, , , 
          قطعة 139, , , 
            3786299,"ر4,021,350.000",805.50,"4,992"
          قطعة 140, , , 
            3786313,"ر4,021,350.000",805.50,"4,992"
          قطعة 141, , , 
            3786378,"ر4,021,350.000",780.00,"5,156"
          قطعة 142, , , 
            3786402,"ر4,021,350.000",780.00,"5,156"
          قطعة 143, , , 
            3786445,"ر4,021,350.000",780.00,"5,156"
          قطعة 144, , , 
            3786492,"ر4,021,350.000",780.00,"5,156"
          قطعة 145, , , 
            3786009,"ر4,021,350.000",780.00,"5,156"
          قطعة 146, , , 
            3786157,"ر4,021,350.000",780.00,"5,156"
          قطعة 147, , , 
            3786091,"ر4,021,350.000",780.00,"5,156"
          قطعة 148, , , 
            3786250,"ر4,021,350.000",780.00,"5,156"
          قطعة 149, , , 
            3786684,"ر4,021,350.000",805.50,"4,992"
          قطعة 150, , , 
            3786065,"ر4,021,350.000",805.50,"4,992"
          قطعة 181, , , 
            3726599,"ر5,500,000.000",782.00,"7,033"
          قطعة 2246/ب, , , 
            3768241,"ر3,500,000.000",375.00,"9,333"
          قطعة 236, , , 
            3749402,"ر3,420,000.000",600.00,"5,700"
          قطعة 70/أ, , , 
            3742945,"ر4,550,000.000",420.00,"10,833"
          قطعة 70/ب, , , 
            3737088,"ر4,500,000.000",420.00,"10,714"
      مخطط/448, , , 
          قطعة 5, , , 
            3796432,"ر2,600,000.000",836.00,"3,110"
   حي/الخمرة, , , 
      مخطط/134, , , 
          قطعة 183/ب, , , 
            3727020,"ر400,000.000",400.00,"1,000"
          قطعة 184/ب, , , 
            3727063,"ر400,000.000",400.00,"1,000"
          قطعة 225/د, , , 
